segment_id,road,direction,miles,road_class,func_class,aadt
segment_1175,road_11000169,NORTHBOUND,0.551502002002002,State Route,2,39069
segment_1176,road_11000169,NORTHBOUND,0.448650002002002,State Route,2,30291
segment_1177,road_11000169,NORTHBOUND,0.20394100100100102,State Route,2,31137
segment_1178,road_11000169,NORTHBOUND,1.416707002002002,State Route,2,31022
segment_1179,road_11000169,NORTHBOUND,0.363294004004004,State Route,2,23961
segment_1180,road_11000170,SOUTHBOUND,0.7345000020020019,US Route,2,16516
segment_1181,road_11000170,NORTHBOUND,0.03303800200200201,US Route,2,17185
segment_1182,road_11000170,NORTHBOUND,4.817862003003003,US Route,2,6187
segment_1183,road_11000170,SOUTHBOUND,1.630961004004004,US Route,2,5057
segment_1184,road_11000170,NORTHBOUND,2.010544,US Route,2,5364
segment_1185,road_11000170,SOUTHBOUND,2.445513003003003,US Route,2,5593
segment_1186,road_11000170,NORTHBOUND,0.348974,US Route,2,19972
segment_1187,road_11000170,SOUTHBOUND,1.950124,US Route,2,16182
segment_1188,road_11000170,NORTHBOUND,1.127473,US Route,2,16346
segment_1189,road_11000170,NORTHBOUND,0.736502004004004,US Route,2,15597
segment_1190,road_11000170,NORTHBOUND,0.900662004004004,US Route,3,11980
segment_1191,road_11000170,NORTHBOUND,0.5662060010010009,US Route,3,19329
segment_1192,road_11000170,NORTHBOUND,0.575154003003003,US Route,2,21032
segment_1193,road_11000170,NORTHBOUND,3.2555250030030027,US Route,2,10908
segment_1194,road_11000170,SOUTHBOUND,1.1182510010010012,US Route,2,12163
segment_1195,road_11000170,NORTHBOUND,1.1202530030030031,US Route,2,13081
segment_1196,road_11000170,SOUTHBOUND,3.256526004004004,US Route,2,10906
segment_1197,road_11000171,SOUTHBOUND,0.318726,State Route,3,12329
segment_1198,road_11000171,SOUTHBOUND,1.355317003003003,State Route,3,11115
segment_1199,road_11000171,NORTHBOUND,0.447869002002002,State Route,3,12823
segment_1200,road_11000171,NORTHBOUND,0.393542003003003,State Route,3,13986
segment_1201,road_11000172,NORTHBOUND,0.31146000400400403,State Route,3,9552
segment_1202,road_11000172,NORTHBOUND,0.199857001001001,State Route,3,21854
segment_1203,road_11000172,NORTHBOUND,0.250057004004004,State Route,3,10812
segment_1204,road_11000172,SOUTHBOUND,0.307456,State Route,3,12102
segment_1205,road_11000172,SOUTHBOUND,0.21234600200200202,State Route,3,9192
segment_1206,road_11000172,SOUTHBOUND,0.814502001001001,State Route,3,19821
segment_1207,road_11000172,SOUTHBOUND,0.592914003003003,State Route,3,10986
segment_1208,road_11000172,SOUTHBOUND,2.321238,State Route,3,12431
segment_1209,road_11000172,NORTHBOUND,0.756121003003003,State Route,3,16065
segment_1210,road_11000173,NORTHBOUND,2.7780850040040037,State Route,3,22180
segment_1211,road_11000173,NORTHBOUND,2.410189002002002,State Route,3,29532
segment_1212,road_11000173,SOUTHBOUND,1.085415003003003,State Route,3,29963
segment_1213,road_11000173,NORTHBOUND,1.063530002002002,State Route,3,31280
segment_1214,road_11000173,NORTHBOUND,0.853002001001001,State Route,3,29111
segment_1215,road_11000173,NORTHBOUND,0.032469004004004,State Route,3,30408
